from,to,weight
137362,1431,3
137362,162417,3
137362,1738,3
137362,1743,3
137362,4967,3
137362,55753,3
2805,1431,3
2805,162417,3
2805,1738,3
2805,1743,3
2805,4967,3
2805,55753,3
2806,1431,3
2806,162417,3
2806,1738,3
2806,1743,3
2806,4967,3
2806,55753,3
1431,48,3
1431,50,3
2875,162417,3
2875,1738,3
2875,1743,3
2875,4967,3
2875,55753,3
2875,1737,3
2875,5160,3
2875,5161,3
2875,5162,3
84706,162417,3
84706,1738,3
84706,1743,3
84706,4967,3
84706,55753,3
84706,1737,3
84706,5160,3
84706,5161,3
84706,5162,3
51166,1738,3
51166,1743,3
51166,55526,3
48,50,3
48,3417,3
48,3418,3
48,3419,3
48,3420,3
48,3421,3
50,48,3
50,3417,3
50,3418,3
50,3419,3
50,3420,3
50,3421,3
3417,137362,3
3417,2805,3
3417,2806,3
3417,2875,3
3417,84706,3
3417,3418,3
3417,1738,3
3417,1743,3
3417,4967,3
3417,55753,3
3418,137362,3
3418,2805,3
3418,2806,3
3418,2875,3
3418,84706,3
3418,3417,3
3418,1738,3
3418,1743,3
3418,4967,3
3418,55753,3
3419,137362,3
3419,2805,3
3419,2806,3
3419,2875,3
3419,84706,3
3419,1738,3
3419,1743,3
3419,4967,3
3419,55753,3
3420,137362,3
3420,2805,3
3420,2806,3
3420,2875,3
3420,84706,3
3420,1738,3
3420,1743,3
3420,4967,3
3420,55753,3
3421,137362,3
3421,2805,3
3421,2806,3
3421,2875,3
3421,84706,3
3421,1738,3
3421,1743,3
3421,4967,3
3421,55753,3
586,1738,3
586,1629,3
586,593,3
586,594,3
587,1738,3
587,1629,3
587,593,3
587,594,3
189,1738,3
189,1737,3
189,5160,3
189,5161,3
189,5162,3
64902,1738,3
64902,1737,3
64902,5160,3
64902,5161,3
64902,5162,3
