from,to,weight
MECR,PPT1,3
MECR,PPT2,3
MECR,ACAA2,3
MECR,HADHB,3
ECHS1,MECR,3
ECHS1,HADHA,3
ECHS1,HADH,3
HADHA,MECR,3
HADHA,ECHS1,3
HADHA,HADH,3
ACAA2,HADHA,3
ACAA2,HADH,3
HADHB,HADHA,3
HADHB,HADH,3
HADH,ECHS1,3
HADH,HADHA,3
HSD17B12,HACD2,3
HSD17B12,HACD4,3
HSD17B12,HACD3,3
HSD17B12,HACD1,3
TECR,ACOT2,3
TECR,ACOT7,3
TECR,THEM4,3
TECR,ACOT4,3
TECR,THEM5,3
TECR,ACOT1,3
HACD2,TECR,3
HACD4,TECR,3
HACD3,TECR,3
HACD1,TECR,3
ELOVL2,HSD17B12,3
ELOVL5,HSD17B12,3
ELOVL1,HSD17B12,3
ELOVL4,HSD17B12,3
ELOVL6,HSD17B12,3
ELOVL7,HSD17B12,3
ELOVL3,HSD17B12,3
