from,to,value
NFKB1,BCL2L1,1
RELA,BCL2L1,1
NFKB1,BCL2,1
RELA,BCL2,1
NFKB1,BIRC2,1
RELA,BIRC2,1
NFKB1,BIRC3,1
RELA,BIRC3,1
IKBKB,NFKBIA,1
NFKB1,NFKBIA,3
RELA,NFKBIA,3
CSNK2A1,NFKBIA,1
CSNK2A2,NFKBIA,1
CSNK2B,NFKBIA,1
CSNK2A3,NFKBIA,1
MYD88,IRAK1,1
IL1R1,IRAK1,1
TIRAP,IRAK1,1
MYD88,IRAK4,1
IL1R1,IRAK4,1
TIRAP,IRAK4,1
IL1R1,MYD88,1
TLR4,MYD88,1
TNFRSF1A,TRAF2,1
LTBR,TRAF2,3
NFKB1,TRAF2,1
RELA,TRAF2,1
TNFRSF13C,TRAF2,3
CD40,TRAF2,3
TNFRSF11A,TRAF2,3
RIGI,TRAF2,1
TNFRSF1A,TRAF5,1
LTBR,TRAF5,3
BIRC2,RIPK1,3
BIRC3,RIPK1,3
TNFRSF1A,RIPK1,1
TICAM2,RIPK1,1
TICAM1,RIPK1,1
TNFRSF1A,TRADD,1
IL1B,IL1R1,1
TNF,TNFRSF1A,1
NFKB1,IL1B,1
RELA,IL1B,1
NFKB1,TNF,1
RELA,TNF,1
TRAF2,LTBR,3
TRAF5,LTBR,3
TNFSF14,LTBR,1
TRAF3,LTBR,3
LTA,LTBR,1
LTB,LTBR,1
BIRC2,TRAF3,3
BIRC3,TRAF3,3
LTBR,TRAF3,3
TNFRSF13C,TRAF3,3
CD40,TRAF3,3
EDA2R,TRAF3,3
TRAF2,MAP3K14,1
TRAF5,MAP3K14,1
TRAF3,MAP3K14,1
TRAF6,MAP3K14,1
MAP3K14,CHUK,1
BTK,CHUK,1
BTK,IKBKG,1
MAP3K7,IKBKB,1
BTK,IKBKB,1
CHUK,NFKB2,1
NFKB1,NFKB2,1
RELA,NFKB2,1
NFKBIA,NFKB1,3
NFKBIA,RELA,3
PPP1R13L,RELA,2
IRAK1,MAP3K7,1
IRAK4,MAP3K7,1
MYD88,MAP3K7,1
TRAF2,MAP3K7,1
TRAF5,MAP3K7,1
RIPK1,MAP3K7,1
TRADD,MAP3K7,1
TRAF3,MAP3K7,1
MAP3K14,MAP3K7,1
TRAF6,MAP3K7,1
NFKB2,TNFSF13B,1
RELB,TNFSF13B,1
TRAF2,TNFRSF13C,3
TRAF3,TNFRSF13C,3
TNFSF13B,TNFRSF13C,1
TRAF2,CD40,3
TRAF3,CD40,3
CD40LG,CD40,1
TRAF6,CD40,3
SYK,IGH,3
LAT,PLCG1,1
PRKCB,CARD10,1
PRKCQ,CARD10,1
PRKCB,CARD14,1
PRKCQ,CARD14,1
PRKCB,CARD11,1
PRKCQ,CARD11,1
MYD88,TRAF6,1
IL1R1,TRAF6,1
CD40,TRAF6,3
TNFRSF11A,TRAF6,3
RIGI,TRAF6,1
TIRAP,TRAF6,1
TICAM2,TRAF6,1
TICAM1,TRAF6,1
EDARADD,TRAF6,3
EDA2R,TRAF6,3
CYLD,TRAF6,2
NFKB1,TNFAIP3,1
RELA,TNFAIP3,1
NFKB1,TRAF1,1
RELA,TRAF1,1
NFKB1,CXCL8,1
RELA,CXCL8,1
NFKB2,CCL13,1
RELB,CCL13,1
NFKB2,CXCL12,1
RELB,CXCL12,1
TRAF2,TNFRSF11A,3
TRAF6,TNFRSF11A,3
TNFSF11,TNFRSF11A,1
CD14,TLR4,1
IRAK1,TAB1,1
IRAK4,TAB1,1
MYD88,TAB1,1
TRAF2,TAB1,1
TRAF5,TAB1,1
RIPK1,TAB1,1
TRADD,TAB1,1
TRAF3,TAB1,1
MAP3K14,TAB1,1
TRAF6,TAB1,1
IRAK1,TAB2,1
IRAK4,TAB2,1
MYD88,TAB2,1
TRAF2,TAB2,1
TRAF5,TAB2,1
RIPK1,TAB2,1
TRADD,TAB2,1
TRAF3,TAB2,1
MAP3K14,TAB2,1
TRAF6,TAB2,1
IRAK1,TAB3,1
IRAK4,TAB3,1
MYD88,TAB3,1
TRAF2,TAB3,1
TRAF5,TAB3,1
RIPK1,TAB3,1
TRADD,TAB3,1
TRAF3,TAB3,1
MAP3K14,TAB3,1
TRAF6,TAB3,1
TRIM25,RIGI,3
TLR4,TIRAP,1
TLR4,TICAM2,1
TLR4,TICAM1,1
ZAP70,LAT,1
NFKB1,PLAU,1
RELA,PLAU,1
NFKB1,BCL2A1,1
RELA,BCL2A1,1
BTK,PLCG2,1
BLNK,PLCG2,1
IGH,SYK,3
TRAF2,BTK,1
TRAF3,BTK,1
SYK,BTK,1
NFKB1,CFLAR,1
NFKB1,XIAP,1
RELA,XIAP,1
NFKB1,GADD45G,1
RELA,GADD45G,1
NFKB1,GADD45A,1
RELA,GADD45A,1
NFKB1,GADD45B,1
RELA,GADD45B,1
NFKB1,PTGS2,1
RELA,PTGS2,1
NFKB1,CCL4L1,1
RELA,CCL4L1,1
NFKB1,CCL4,1
RELA,CCL4,1
NFKB1,CCL4L2,1
RELA,CCL4L2,1
NFKB1,VCAM1,1
RELA,VCAM1,1
NFKB1,CXCL1,1
RELA,CXCL1,1
NFKB1,CXCL2,1
RELA,CXCL2,1
NFKB1,CXCL3,1
RELA,CXCL3,1
NFKB2,CCL21,1
RELB,CCL21,1
NFKB2,CCL19,1
RELB,CCL19,1
NFKB2,ICAM1,1
RELB,ICAM1,1
EDA,EDAR,1
EDARADD,EDAR,3
TRAF6,EDARADD,3
EDAR,EDARADD,3
TRAF3,EDA2R,3
TRAF6,EDA2R,3
EDA,EDA2R,1
